,w,IR
482,805.5975697820262,2.1127707669880383e+27
483,807.2654736532104,2.2729336623903e+27
484,808.9333775243948,1.9302632127537308e+27
485,810.601281395579,2.0309308214638215e+27
486,812.2691852667634,1.7898149878739906e+27
487,813.9370891379477,1.0783184200263618e+27
488,815.604993009132,1.9997804992741439e+27
489,817.2728968803164,1.2246969429601629e+27
490,818.9408007515007,1.3798434738647812e+27
491,820.608704622685,1.3216705481358506e+27
492,822.2766084938694,2.0784348461148767e+27
493,823.9445123650536,7.714781819752418e+26
494,825.612416236238,1.820043063445263e+27
495,827.2803201074222,6.656784427583546e+26
496,828.9482239786066,2.0266785336764372e+27
497,830.6161278497909,8.35662549761699e+26
498,832.2840317209752,1.6691280907405622e+27
499,833.9519355921595,1.0217102507640073e+27
500,835.6198394633439,1.1293793646909157e+27
501,837.2877433345282,3.778874452036188e+26
502,838.9556472057126,1.4263668647642742e+27
503,840.6235510768968,5.6315224530687306e+26
504,842.2914549480812,1.3430414287548198e+27
505,843.9593588192654,5.955185307405726e+26
506,845.6272626904498,1.55571476547007e+27
507,847.2951665616342,6.762604515508996e+26
508,848.9630704328184,1.6078667690004443e+27
509,850.6309743040027,7.259787845339761e+26
510,852.298878175187,1.5039890256375621e+27
511,853.9667820463713,4.5574032026768964e+26
512,855.6346859175558,1.9500633182353335e+27
513,857.30258978874,2.6434751644023868e+26
514,858.9704936599244,2.717095835541143e+27
515,860.6383975311086,2.3694626980215348e+27
516,862.306301402293,2.372760344696598e+27
517,863.9742052734774,1.803674639631251e+27
518,865.6421091446616,2.149356957932287e+27
519,867.310013015846,1.0599438426943329e+27
520,868.9779168870302,1.2766981972686564e+27
521,870.6458207582147,1.0772550239997802e+27
522,872.313724629399,1.7401449347771775e+27
523,873.9816285005832,1.53159721626687e+27
524,875.6495323717676,1.9226620004211327e+27
525,877.3174362429518,1.523053498024712e+27
526,878.9853401141362,2.20573414616977e+27
527,880.6532439853206,2.308595091235502e+27
528,882.3211478565048,3.2282425408341216e+27
529,883.9890517276892,2.6054567970818286e+27
530,885.6569555988734,3.487010182455271e+27
531,887.3248594700578,2.597330164534922e+27
532,888.9927633412422,1.741239987361288e+27
533,890.6606672124265,1.5981547025076978e+27
534,892.3285710836108,1.4493692939084373e+27
535,893.996474954795,1.1950912988734639e+27
536,895.6643788259794,9.54282709666918e+26
537,897.3322826971638,9.556710900378328e+26
538,899.000186568348,1.2645761226145397e+27
539,900.6680904395324,6.235426776721126e+26
540,902.3359943107166,7.881984965418791e+26
541,904.003898181901,7.40044443885182e+26
542,905.6718020530853,8.437066914621997e+26
543,907.3397059242697,8.937988609643271e+26
544,909.007609795454,7.988498344189054e+26
545,910.6755136666383,7.530547462934217e+26
546,912.3434175378226,7.321901526450648e+26
547,914.011321409007,5.318465074636175e+26
548,915.6792252801912,1.0421401881143487e+27
549,917.3471291513756,6.803776222946933e+26
550,919.0150330225598,6.698053320539227e+26
551,920.6829368937442,4.67965800380901e+26
